GBL Code Link,Alternative URL,FIPS
https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39025,,39025
https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39031,,39031
https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39033,,39033
https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39035,,39035
https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39039,,39039
https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39041,,39041
https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39043,,39043
https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39045,,39045
https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39047,,39047
https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39049,https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39049-02,39049
https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39051,,39051
https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39055,,39055
https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39057,,39057
https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39061,https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39061-02,39061
https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39063,,39063
https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39069,,39069
https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39073,,39073
https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39075,,39075
https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39083,,39083
https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39085,,39085
https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39087,,39087
https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39089,,39089
https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39091,,39091
https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39093,,39093
https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39095,,39095
https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39097,,39097
https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39099,,39099
https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39101,,39101
https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39103,,39103
https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39107,,39107
https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39113,,39113
https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39117,,39117
https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39119,,39119
https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39123,,39123
https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39129,,39129
https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39133,,39133
https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39135,,39135
https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39137,,39137
https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39147,,39147
https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39151,,39151
https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39153,,39153
https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39157,,39157
https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39159,,39159
https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39165,,39165
https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39167,,39167
https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39173,,39173
https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=12b-031,,17031
https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=12b-113,,12031
https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=12b-17031,,17031
https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=12b-17043,,17043
https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=12b-17097,,17097
https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=12b-17143,,17143
