FIPS,GBL Code Link
39035,https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39035
39039,https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39039
39041,https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39041
39043,https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39043
39045,https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39045
39047,https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39047
39049,https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39049
39051,https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39051
39055,https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39055
39057,https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39057
39061,https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39061
39063,https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39063
39069,https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39069
39073,https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39073
39075,https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39075
39083,https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39083
39085,https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39085
39087,https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39087
39089,https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39089
39091,https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39091
39093,https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39093
39095,https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39095
39097,https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39097
39099,https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39099
39101,https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39101
39103,https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39103
39107,https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39107
39113,https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39113
39117,https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39117
39119,https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39119
39123,https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39123
39129,https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39129
39133,https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39133
39135,https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39135
39137,https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39137
39147,https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39147
39151,https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39151
39153,https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39153
39157,https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39157
39159,https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39159
39165,https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39165
39167,https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39167
39173,https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=11b-39173
17031,https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=12b-031
12031,https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=12b-113
17031,https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=12b-17031
17043,https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=12b-17043
17097,https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=12b-17097
17143,https://geo.btaa.org/?f%5Bb1g_code_s%5D%5B%5D=12b-17143
